ticker,sector,country,longName,currency,marketCap,bookValue,regularMarketPrice,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,GoodwillAndOtherIntangibleAssets,NetPPE,CashCashEquivalentsAndShortTermInvestments
AVID,Communication Services,United States,,,,,,,,,,,,,,,
AVIR,Healthcare,United States,,,,,,,,,,,,,,,
AVNW,Technology,United States,,,,,,,,,,,,,,,
AVO,Consumer Defensive,United States,,,,,,,,,,,,,,,
AVPT,Technology,United States,,,,,,,,,,,,,,,
AVRO,Healthcare,United States,,,,,,,,,,,,,,,
AVT,Technology,United States,,,,,,,,,,,,,,,
AVTE,Healthcare,United States,,,,,,,,,,,,,,,
AVXL,Healthcare,United States,,,,,,,,,,,,,,,
AWH,Healthcare,United States,,,,,,,,,,,,,,,
AWRE,Technology,United States,,,,,,,,,,,,,,,
AXDX,Healthcare,United States,,,,,,,,,,,,,,,
AXGN,Healthcare,United States,,,,,,,,,,,,,,,
AXLA,Healthcare,United States,,,,,,,,,,,,,,,
AXNX,Healthcare,United States,,,,,,,,,,,,,,,
AXON,Industrials,United States,,,,,,,,,,,,,,,
AXSM,Healthcare,United States,,,,,,,,,,,,,,,
AXTI,Technology,United States,,,,,,,,,,,,,,,
AY,Utilities,United Kingdom,,,,,,,,,,,,,,,
AYLA,Healthcare,Israel,,,,,,,,,,,,,,,
AYRO,Consumer Cyclical,United States,,,,,,,,,,,,,,,
AYTU,Healthcare,United States,,,,,,,,,,,,,,,
AZ,Industrials,Canada,,,,,,,,,,,,,,,
AZN,Healthcare,United Kingdom,,,,,,,,,,,,,,,
AZPN,Technology,United States,,,,,,,,,,,,,,,
AZTA,Healthcare,United States,,,,,,,,,,,,,,,
AZYO,Healthcare,United States,,,,,,,,,,,,,,,
BAFN,Financial Services,United States,,,,,,,,,,,,,,,
BAND,Technology,United States,,,,,,,,,,,,,,,
BANF,Financial Services,United States,,,,,,,,,,,,,,,
BANR,Financial Services,United States,,,,,,,,,,,,,,,
BANX,Financial Services,United States,,,,,,,,,,,,,,,
BASE,Technology,United States,,,,,,,,,,,,,,,
BATRA,Communication Services,United States,,,,,,,,,,,,,,,
BATRK,Communication Services,United States,,,,,,,,,,,,,,,
BBBY,Consumer Cyclical,United States,,,,,,,,,,,,,,,
BBCP,Industrials,United States,,,,,,,,,,,,,,,
BBGI,Communication Services,United States,,,,,,,,,,,,,,,
BBIG,Consumer Cyclical,United States,,,,,,,,,,,,,,,
BBIO,Healthcare,United States,,,,,,,,,,,,,,,
BBLG,Healthcare,United States,,,,,,,,,,,,,,,
BBQ,Consumer Cyclical,United States,,,,,,,,,,,,,,,
BBSI,Industrials,United States,,,,,,,,,,,,,,,
BCAB,Healthcare,United States,,,,,,,,,,,,,,,
BCAC,Financial Services,United States,,,,,,,,,,,,,,,
BCACU,Financial Services,United States,,,,,,,,,,,,,,,
BCBP,Financial Services,United States,,,,,,,,,,,,,,,
BCDA,Healthcare,United States,,,,,,,,,,,,,,,
BCEL,Healthcare,United States,,,,,,,,,,,,,,,
BCLI,Healthcare,United States,,,,,,,,,,,,,,,
BCML,Financial Services,United States,,,,,,,,,,,,,,,
BCOR,Financial Services,United States,,,,,,,,,,,,,,,
BCOV,Technology,United States,,,,,,,,,,,,,,,
BCOW,Financial Services,United States,,,,,,,,,,,,,,,
BCPC,Basic Materials,United States,,,,,,,,,,,,,,,
BCRX,Healthcare,United States,,,,,,,,,,,,,,,
BCSA,Financial Services,Cayman Islands,,,,,,,,,,,,,,,
BCSAU,Financial Services,Cayman Islands,,,,,,,,,,,,,,,
BCSAW,Financial Services,Cayman Islands,,,,,,,,,,,,,,,
BCTX,Healthcare,Canada,,,,,,,,,,,,,,,
BCYC,Healthcare,United Kingdom,,,,,,,,,,,,,,,
BDSX,Healthcare,United States,,,,,,,,,,,,,,,
BDTX,Healthcare,United States,,,,,,,,,,,,,,,
BEAM,Healthcare,United States,,,,,,,,,,,,,,,
BEAT,Healthcare,United States,,,,,,,,,,,,,,,
BECN,Industrials,United States,,,,,,,,,,,,,,,
BEEM,Technology,United States,,,,,,,,,,,,,,,
BELFA,Technology,United States,,,,,,,,,,,,,,,
BELFB,Technology,United States,,,,,,,,,,,,,,,
BENE,Financial Services,United States,,,,,,,,,,,,,,,
BENEU,Financial Services,United States,,,,,,,,,,,,,,,
BFC,Financial Services,United States,,,,,,,,,,,,,,,
BFI,Consumer Cyclical,United States,,,,,,,,,,,,,,,
BFIN,Financial Services,United States,,,,,,,,,,,,,,,
