ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
STLD,"Steel Dynamics, Inc.",Basic Materials,2022-12-31,2023-03-18,0.5822955780972152,0.27560141389095405,0.4524492349148302,251,31,282
QCOM,QUALCOMM Incorporated,Technology,2022-12-31,2023-03-18,1.4856991525423728,0.0989020576488232,0.13923631243270104,56,228,284
LSXMK,The Liberty SiriusXM Group,Communication Services,2022-12-31,2023-03-18,1.0834586466165415,0.11048381805145656,1.0242840778923252,100,185,285
MATX,"Matson, Inc.",Industrials,2022-12-31,2023-03-18,0.5311446180084499,0.4855628153454626,1.0545833333333332,276,10,286
LSXMB,The Liberty SiriusXM Group,Communication Services,2022-12-31,2023-03-18,1.0834586466165415,0.10985556358218632,1.0246753246753246,100,188,288
LSXMA,The Liberty SiriusXM Group,Communication Services,2022-12-31,2023-03-18,1.0834586466165415,0.1098555207026655,1.0223323170731708,100,189,289
UTHR,United Therapeutics Corporation,Healthcare,2022-12-31,2023-03-18,0.9274459854703274,0.12061375976691699,0.4742320120147454,133,160,293
ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.8923976608187134,0.12162527512753062,0.22741819918796277,144,156,300
VNT,Vontier Corporation,Technology,2022-12-31,2023-03-18,1.5534738485558157,0.09338526016814377,0.14643423137876388,54,250,304
MOH,"Molina Healthcare, Inc.",Healthcare,2022-12-31,2023-03-18,4.528957528957529,0.08126155684819429,0.1937848394069243,10,314,324
EAF,GrafTech International Ltd.,Industrials,2022-12-31,2023-03-18,0.5167613473942443,0.25565917308941294,0.2917960088691796,293,41,334
BTU,Peabody Energy Corporation,Energy,2022-12-31,2023-03-18,0.4624234128536045,0.5767748878303125,0.9629073756432246,333,7,340
CI,The Cigna Group,Healthcare,2022-12-31,2023-03-18,1.4158415841584158,0.08733366861722587,0.5575654110224532,63,279,342
CTSH,Cognizant Technology Solutions Corporation,Technology,2022-12-31,2023-03-18,0.8484763768521107,0.10730767680469074,0.41846340197265963,152,197,349
SLVM,Sylvamo Corporation,Basic Materials,2022-12-31,2023-03-18,0.5173745173745173,0.20955749838640728,0.35780125899280574,292,60,352
MAN,ManpowerGroup Inc.,Industrials,2022-12-31,2023-03-18,0.6800270209412295,0.12948516458456236,0.6146539682539683,218,141,359
CROX,"Crocs, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,1.2273970163314778,0.08716214605146706,0.11045697131420948,79,282,361
SYNA,Synaptics Incorporated,Technology,2022-12-31,2023-03-18,1.268676716917923,0.08582094820643636,0.3086726499763817,74,288,362
LSTR,"Landstar System, Inc.",Industrials,2022-12-31,2023-03-18,0.9333907560346956,0.09754679629751775,0.14354473057024936,129,234,363
OLN,Olin Corporation,Basic Materials,2022-12-31,2023-03-18,0.5181062460855207,0.19129521443555503,0.37536118703631394,291,75,366
UFPI,"UFP Industries, Inc.",Basic Materials,2022-12-31,2023-03-18,0.5054476707630143,0.20256666925424255,0.5380268942332557,301,66,367
MPC,Marathon Petroleum Corporation,Energy,2022-12-31,2023-03-18,0.47304643532820845,0.2553686548556404,0.49366003558143295,326,42,368
DINO,HF Sinclair Corporation,Energy,2022-12-31,2023-03-18,0.4423732019363539,0.35424954053517343,0.993939393939394,354,14,368
VLO,Valero Energy Corporation,Energy,2022-12-31,2023-03-18,0.44926674593737614,0.2856901352315157,0.5010208119015589,347,28,375
WH,"Wyndham Hotels & Resorts, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,4.560975609756097,0.07325401905237536,0.16750413720475404,8,372,380
SHOO,"Steven Madden, Ltd.",Consumer Cyclical,2022-12-31,2023-03-18,0.7161448135924207,0.11168891081823126,0.3060486150367439,201,180,381
VSTO,Vista Outdoor Inc.,Consumer Cyclical,2022-12-31,2023-03-18,0.4730410660224536,0.21284425988626118,0.9732945736434109,327,58,385
BLD,TopBuild Corp.,Industrials,2022-12-31,2023-03-18,0.7384024239645649,0.10771233773015396,0.32353717089642803,193,196,389
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.48264726988061846,0.1948066922962919,0.6866557845337686,318,71,389
RS,Reliance Steel & Aluminum Co.,Basic Materials,2022-12-31,2023-03-18,0.5077609242376611,0.17644735014044638,0.5013348303393214,297,93,390
CSCO,"Cisco Systems, Inc.",Technology,2023-01-31,2023-03-18,4.510578718108277,0.07178751393883456,0.20179318589360432,11,384,395
LBRDK,Liberty Broadband Corporation,Communication Services,2022-12-31,2023-03-18,0.6983661499790532,0.10984906454387001,0.7262299196787148,207,190,397
LBRDA,Liberty Broadband Corporation,Communication Services,2022-12-31,2023-03-18,0.6983661499790532,0.10973973723141042,0.7319251201619024,207,191,398
COP,ConocoPhillips,Energy,2022-12-31,2023-03-18,0.44855475391755895,0.23358259432087716,0.4155419006250662,349,50,399
OMC,Omnicom Group Inc.,Communication Services,2022-12-31,2023-03-18,1.0306916426512969,0.08407879462633949,0.18619008935824533,110,296,406
PSX,Phillips 66,Energy,2022-12-31,2023-03-18,0.4281351563375546,0.2575405694502469,0.6684227195945946,367,39,406
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,2022-12-31,2023-03-18,0.7417390479514057,0.10166787631756771,0.12131164633510583,190,217,407
DVN,Devon Energy Corporation,Energy,2022-12-31,2023-03-18,0.43835100371347074,0.2259387014562991,0.3705525460455038,356,51,407
THO,"THOR Industries, Inc.",Consumer Cyclical,2023-01-31,2023-03-18,0.45240766503612617,0.19120693195032282,0.903607060629317,343,76,419
LRCX,Lam Research Corporation,Technology,2022-12-31,2023-03-18,0.928856537636314,0.08560378787520426,0.12064875285230937,131,290,421
KLAC,KLA Corporation,Technology,2022-12-31,2023-03-18,1.4566465949303842,0.07402037227905449,0.04849000644745326,57,367,424
MTDR,Matador Resources Company,Energy,2022-12-31,2023-03-18,0.3967315174040451,0.29000049771530356,0.6018872266973533,398,27,425
PBH,Prestige Consumer Healthcare Inc.,Healthcare,2022-12-31,2023-03-18,1.2659724230295097,0.07568062807976302,0.554014360313316,75,351,426
X,United States Steel Corporation,Basic Materials,2022-12-31,2023-03-18,0.3734294766743144,0.5531757854860512,1.866416353775553,420,8,428
POST,"Post Holdings, Inc.",Consumer Defensive,2022-12-31,2023-03-18,0.52859375,0.12632119611599668,0.6838288870607592,280,150,430
PATK,"Patrick Industries, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.45696344992346644,0.16882952979438293,0.6341542545347294,337,97,434
BIIB,Biogen Inc.,Healthcare,2022-12-31,2023-03-18,0.7204068992699086,0.09587257150110642,0.35330597355221155,199,239,438
NEX,NexTier Oilfield Solutions Inc.,Energy,2022-12-31,2023-03-18,0.4449968535278859,0.17628499765241815,0.4447957839262187,350,94,444
RYI,Ryerson Holding Corporation,Industrials,2022-12-31,2023-03-18,0.36752362699094576,0.31462987622559113,0.7266626176738535,426,18,444
FOX,Fox Corporation,Communication Services,2022-12-31,2023-03-18,0.5239001692047377,0.11751453709762062,0.7193355481727575,284,163,447
FOXA,Fox Corporation,Communication Services,2022-12-31,2023-03-18,0.5239001692047377,0.11749883384233695,0.661533761075466,284,164,448
ZIP,"ZipRecruiter, Inc.",Industrials,2022-12-31,2023-03-18,3.989809809031154,0.06450368185220157,0.01870307167235495,18,437,455
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,2022-12-31,2023-03-18,2.7745275692466995,0.06460770839871101,0.18302397132907328,24,435,459
MXL,"MaxLinear, Inc.",Technology,2022-12-31,2023-03-18,1.3710593390868846,0.06984518777643683,0.2522760646108664,67,395,462
NTAP,"NetApp, Inc.",Technology,2023-01-31,2023-03-18,1.0886454183266931,0.07408768899678633,0.08378070603546446,97,365,462
CSL,Carlisle Companies Incorporated,Industrials,2022-12-31,2023-03-18,0.6776479297763207,0.09559214796623174,0.2729709912469639,221,242,463
CARG,"CarGurus, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,1.0986229296969372,0.07327655938648776,0.3492729306487696,94,371,465
