ticker,sector,country,longName,currency,marketCap,regularMarketPrice,regularMarketTime,bookValue,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebtAndCapitalLeaseObligation,CurrentAssets,CurrentLiabilities,NetPPE,CashCashEquivalentsAndShortTermInvestments,MinorityInterest,PreferredStock
1233.TW,Consumer Defensive,Taiwan,天仁,TWD,3164687616,34.95,2023-12-15 13:30:30,16.1,2023-09-30,137113000.0,2342092000.0,571890000.0,231370000.0,726085000.0,568133000.0,1188618000.0,207701000.0,3543000.0,
1234.TW,Consumer Defensive,Taiwan,黑松,TWD,15934186496,39.65,2023-12-15 13:30:27,45.776,2023-09-30,1244841000.0,23113216000.0,1079927000.0,54946000.0,8418432000.0,2293540000.0,6036878000.0,1437611000.0,0.0,
1235.TW,Consumer Defensive,Taiwan,興泰,TWD,2921520640,88.9,2023-12-15 13:30:28,47.061,2023-09-30,133369000.0,4335533000.0,1282477000.0,377000000.0,865546000.0,2037757000.0,172163000.0,708748000.0,151579000.0,
1236.TW,Consumer Defensive,Taiwan,宏亞,TWD,2071508608,23.9,2023-12-15 13:30:38,27.666,2023-09-30,73725000.0,3707945000.0,591286000.0,488901000.0,689368000.0,789519000.0,1836787000.0,136785000.0,,
1240.TWO,Consumer Defensive,Taiwan,茂生農經,TWD,1868106496,47.45,2023-12-15 13:18:55,32.438,2023-09-30,126246000.0,2051672000.0,385559000.0,9354000.0,1146032000.0,676174000.0,433739000.0,370030000.0,68959000.0,
1256.TW,Consumer Defensive,China,鮮活果汁-KY,TWD,8443629056,249.5,2023-12-15 13:30:01,105.765,2023-09-30,763315000.0,5172409000.0,57426000.0,9192000.0,2868997000.0,708152000.0,2056595000.0,1644820000.0,508096000.0,
1259.TWO,Consumer Cyclical,Taiwan,安心,TWD,2464840960,76.1,2023-12-15 13:30:26,74.95,2023-09-30,215753000.0,5890290000.0,2060989000.0,1574530000.0,1529760000.0,1836059000.0,3037171000.0,1235105000.0,17836000.0,
1264.TWO,Consumer Defensive,Taiwan,德麥,TWD,10763606016,290.5,2023-12-15 13:24:30,81.43,2023-09-30,1008239000.0,4672378000.0,261236000.0,39195000.0,2905170000.0,888591000.0,1614285000.0,833692000.0,702052000.0,
1268.TWO,Consumer Cyclical,Taiwan,漢來美食,TWD,6354667008,150.5,2023-12-15 13:30:25,47.364,2023-09-30,474481000.0,6846647000.0,2875978000.0,2676522000.0,2339521000.0,1958611000.0,4216643000.0,1868305000.0,,
1301.TW,Basic Materials,Taiwan,台塑,TWD,507349467136,79.7,2023-12-15 13:30:31,54.949,2023-09-30,4865071000.0,521827785000.0,105343336000.0,60466951000.0,150183583000.0,88194824000.0,115457149000.0,101290489000.0,0.0,
1303.TW,Basic Materials,Taiwan,南亞,TWD,533744222208,67.3,2023-12-15 13:30:28,44.374,2023-09-30,15456663000.0,658653202000.0,188515470000.0,100748432000.0,220538274000.0,135736792000.0,224566751000.0,113684440000.0,16836252000.0,
1304.TW,Basic Materials,Taiwan,台聚,TWD,21660461056,20.2,2023-12-15 13:30:22,22.308,2023-09-30,-279570000.0,75507820000.0,17212414000.0,12348387000.0,29970625000.0,11438981000.0,28906468000.0,14938304000.0,25391834000.0,
1305.TW,Basic Materials,Taiwan,華夏,TWD,13393202176,23.05,2023-12-15 13:30:18,16.619,2023-09-30,559847000.0,17509755000.0,4332235000.0,3098529000.0,6971807000.0,3133693000.0,9215834000.0,2883400000.0,640076000.0,
1307.TW,Consumer Cyclical,Taiwan,三芳,TWD,10621740032,26.7,2023-12-15 13:30:39,21.559,2023-09-30,996391000.0,16026728000.0,4053174000.0,1819124000.0,9723269000.0,3880127000.0,5334211000.0,5866373000.0,,
1308.TW,Basic Materials,Taiwan,亞聚,TWD,14338892800,24.15,2023-12-15 13:30:23,22.919,2023-09-30,737076000.0,15270728000.0,564666000.0,558264000.0,3269604000.0,885576000.0,3402069000.0,1708112000.0,,
1309.TW,Basic Materials,Taiwan,台達化,TWD,6798737920,17.1,2023-12-15 13:30:03,17.268,2023-09-30,-252300000.0,8998748000.0,384918000.0,30266000.0,5600516000.0,1765092000.0,2208624000.0,2387202000.0,,
1310.TW,Basic Materials,Taiwan,台苯,TWD,8445920256,16.0,2023-12-15 13:30:40,12.043,2023-09-30,-532045000.0,9057780000.0,1191089000.0,67858000.0,2708017000.0,2148072000.0,3553094000.0,1040415000.0,258476000.0,
1312.TW,Basic Materials,Taiwan,國喬,TWD,14595027968,15.25,2023-12-15 13:30:05,33.934,2023-09-30,-1393043000.0,61768400000.0,23776024000.0,16964111000.0,15642819000.0,8711012000.0,30192991000.0,9404245000.0,3293708000.0,200000000.0
1313.TW,Basic Materials,Taiwan,聯成,TWD,20894103552,15.85,2023-12-15 13:30:18,22.794,2023-09-30,-59421000.0,56836518000.0,21560496000.0,9882050000.0,22472019000.0,16211304000.0,18143268000.0,5281758000.0,,
