ticker,sector,marketCap,asOfDate,currencyCode,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,NetPPE,EBIT,CashCashEquivalentsAndShortTermInvestments,enterpriseValue,priceToBook
1587.TW,,,2021-12-31,TWD,1222023000.0,123827000.0,1792126000.0,1447516000.0,1157013000.0,27220000.0,398233000.0,,
1589.TW,,,2021-12-31,TWD,7657719000.0,3977776000.0,9305056000.0,5443845000.0,7803024000.0,17363000.0,3984528000.0,,
1590.TW,,,2021-12-31,TWD,7733845000.0,2805726000.0,19314204000.0,9219440000.0,25476770000.0,2106964000.0,6222372000.0,,
1597.TW,,,2021-12-31,TWD,1142592000.0,624585000.0,1814156000.0,746932000.0,1834563000.0,110547000.0,872362000.0,,
1598.TW,,,2021-12-31,TWD,4888876000.0,1937051000.0,6967059000.0,5298005000.0,3242063000.0,31379000.0,1505030000.0,,
1603.TW,,,2021-12-31,TWD,1361998000.0,,4176153000.0,2160549000.0,3298747000.0,71230000.0,1947890000.0,,
1604.TW,,,2021-12-31,TWD,989046000.0,290000000.0,3721124000.0,2581812000.0,5252991000.0,81005000.0,739688000.0,,
1605.TW,,,2021-12-31,TWD,40056811000.0,32285952000.0,69320640000.0,38852513000.0,43277998000.0,7583615000.0,10934378000.0,,
1608.TW,,,2021-12-31,TWD,2836028000.0,,6829616000.0,3612967000.0,3439236000.0,359983000.0,1311370000.0,,
1609.TW,,,2021-12-31,TWD,18347648000.0,9900426000.0,16177058000.0,11435227000.0,11032600000.0,883508000.0,6546490000.0,,
1611.TW,,,2021-12-31,TWD,666637000.0,0.0,2619367000.0,1115663000.0,862993000.0,257523000.0,1510945000.0,,
1612.TW,,,2021-12-31,TWD,7545000.0,,5921644000.0,741542000.0,1382962000.0,2220671000.0,3284373000.0,,
1614.TW,,,2021-12-31,TWD,31681000.0,,2530065000.0,929480000.0,1849851000.0,109610000.0,1016939000.0,,
1615.TW,,,2021-12-31,TWD,724933000.0,186842000.0,1716667000.0,865695000.0,1117732000.0,135153000.0,581986000.0,,
1616.TW,,,2021-12-31,TWD,1043591000.0,130000000.0,2234998000.0,1376858000.0,710517000.0,50192000.0,462482000.0,,
1617.TW,,,2021-12-31,TWD,1272226000.0,110342000.0,2358417000.0,1485701000.0,1192957000.0,36355000.0,975033000.0,,
1618.TW,,,2021-12-31,TWD,12806000.0,,1993434000.0,298452000.0,1357871000.0,79043000.0,455715000.0,,
1626.TW,,,2021-12-31,TWD,2911612000.0,356844000.0,6476330000.0,6028926000.0,3106479000.0,-134431000.0,894421000.0,,
1701.TW,,,2021-12-31,TWD,3055014000.0,1844000000.0,5567045000.0,2807463000.0,4225196000.0,196904000.0,946092000.0,,
1702.TW,,,2021-12-31,TWD,12089066000.0,8538356000.0,16011182000.0,6561148000.0,12833012000.0,597113000.0,9729803000.0,,
1707.TW,,,2021-12-31,TWD,271758000.0,87375000.0,4985297000.0,3294298000.0,7417423000.0,802791000.0,3897434000.0,,
1708.TW,,,2021-12-31,TWD,4638154000.0,2654911000.0,2591857000.0,2915148000.0,8914878000.0,423882000.0,1133300000.0,,
1709.TW,,,2021-12-31,TWD,1949575000.0,3281000.0,5533678000.0,3150881000.0,4198509000.0,-20198000.0,898359000.0,,
1710.TW,,,2021-12-31,TWD,13610889000.0,8129398000.0,6293412000.0,8678751000.0,15027872000.0,49872000.0,2550601000.0,,
1711.TW,,,2021-12-31,TWD,3566918000.0,1000000000.0,7036850000.0,3417561000.0,5175990000.0,98252000.0,1540311000.0,,
1712.TW,,,2021-12-31,TWD,3672305000.0,375000000.0,8199507000.0,6371686000.0,7297819000.0,254889000.0,1784727000.0,,
1713.TW,,,2021-12-31,TWD,6811000.0,,732911000.0,46231000.0,331872000.0,9621000.0,315961000.0,,
1714.TW,,,2021-12-31,TWD,2782821000.0,1462778000.0,13441725000.0,4401408000.0,6553640000.0,351004000.0,7257405000.0,,
1717.TW,,,2021-12-31,TWD,18232930000.0,12505668000.0,37041238000.0,19523383000.0,17507746000.0,839017000.0,4443851000.0,,
1718.TW,,,2021-12-31,TWD,48084467000.0,19902200000.0,604324432000.0,704776403000.0,25977164000.0,1221030000.0,65967649000.0,,
1720.TW,,,2021-12-31,TWD,1969917000.0,50000000.0,5784251000.0,2716097000.0,2955345000.0,268820000.0,2989234000.0,,
1721.TW,,,2021-12-31,TWD,928311000.0,528457000.0,2030289000.0,1066756000.0,1769059000.0,44105000.0,383297000.0,,
1722.TW,,,2021-12-31,TWD,213044000.0,,7835686000.0,3927560000.0,15244224000.0,885403000.0,2955068000.0,,
1723.TW,,,2021-12-31,TWD,2637176000.0,1100000000.0,3693120000.0,2250169000.0,4584197000.0,289552000.0,1674832000.0,,
1725.TW,,,2021-12-31,TWD,1837798000.0,,5985270000.0,2620557000.0,867725000.0,90933000.0,4461839000.0,,
1726.TW,,,2021-12-31,TWD,57720000.0,,7261067000.0,1829159000.0,3530129000.0,211986000.0,2112916000.0,,
1727.TW,,,2021-12-31,TWD,416126000.0,275952000.0,1230198000.0,822293000.0,1273388000.0,50157000.0,202387000.0,,
1730.TW,,,2021-12-31,TWD,163084000.0,156894000.0,1900560000.0,646455000.0,550871000.0,81214000.0,722428000.0,,
1731.TW,,,2021-12-31,TWD,317159000.0,300000000.0,1366710000.0,378058000.0,533684000.0,27903000.0,879670000.0,,
1732.TW,,,2021-12-31,TWD,9031000.0,,456183000.0,159028000.0,197199000.0,4295000.0,220730000.0,,
1733.TW,,,2021-12-31,TWD,343278000.0,,1759853000.0,785888000.0,794121000.0,59504000.0,631249000.0,,
1734.TW,,,2021-12-31,TWD,2073117000.0,1485954000.0,2703349000.0,1534499000.0,3223811000.0,-7956000.0,1244885000.0,,
1735.TW,,,2021-12-31,TWD,1782216000.0,430617000.0,2074760000.0,1808476000.0,1512693000.0,6015000.0,298810000.0,,
1736.TW,,,2021-12-31,TWD,16427647000.0,3167433000.0,23461882000.0,21072476000.0,5753319000.0,619137000.0,2623228000.0,,
