ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
2492.TW,華新科,Technology,2022-06-30,2022-10-07,0.2040320356328517,0.22702467493363274,1.1406632653061224,90,30,120
3189.TW,景碩,Technology,2022-06-30,2022-10-07,0.23030303756883364,0.19901538865795115,0.6780398009950249,83,39,122
2317.TW,鴻海,Technology,2022-06-30,2022-10-07,0.18808952097210166,0.28369608161536425,0.9333302325581395,98,24,122
3481.TW,群創,Technology,2022-06-30,2022-09-28,0.14352306922329078,0.5292668782638195,2.6285615311336277,113,10,123
2227.TW,裕日車,Consumer Cyclical,2022-06-30,2022-10-07,1.4660215742973057,0.058784512370908634,0.30836979166666667,11,113,124
3044.TW,健鼎,Technology,2022-06-30,2022-10-07,0.20433495953770733,0.21318866544726348,0.7881350482315113,89,35,124
2015.TW,豐興,Basic Materials,2022-06-30,2022-10-07,0.29344030570498564,0.15330836514429633,0.5793904448105436,68,59,127
3017.TW,奇鋐,Technology,2022-06-30,2022-10-07,0.2697148774459861,0.15826524851280915,0.3358461538461538,71,56,127
8415.TWO,大國鋼,Industrials,2022-06-30,2022-10-07,0.2937875459942651,0.15186615010234306,0.5119061583577712,67,61,128
6669.TW,緯穎,Technology,2022-06-30,2022-10-07,0.39168449464560534,0.10604765444469993,0.2101750924784217,51,80,131
2324.TW,仁寶,Technology,2022-06-30,2022-10-07,0.10158863485145506,0.5344161302994833,1.178425925925926,126,8,134
4938.TW,和碩,Technology,2022-06-30,2022-10-07,0.1308491504187655,0.34805912862041266,1.0783676975945018,118,17,135
5274.TWO,信驊,Technology,2022-06-30,2022-10-07,9.45639458603848,0.032150334516522494,0.051931284916201116,1,135,136
3231.TW,緯創,Technology,2022-06-30,2022-10-07,0.11339764138793591,0.4514192439356092,1.1197761194029852,124,13,137
1802.TW,台玻,Basic Materials,2022-06-30,2022-10-07,0.187104255387652,0.20622226858862666,0.9319261213720317,100,38,138
3443.TW,創意,Technology,2022-06-30,2022-10-07,2.774352306574188,0.034221433645795135,0.06927631578947369,7,132,139
2360.TW,致茂,Technology,2022-06-30,2022-10-07,0.5891599094270468,0.06787104956392054,0.238252688172043,32,107,139
2301.TW,光寶科,Technology,2022-06-30,2022-10-07,0.2511119203204603,0.14110259844693857,0.5052366412213741,76,63,139
2313.TW,華通,Technology,2022-06-30,2022-10-07,0.22356855362980915,0.16320396397460177,0.6155124056094929,87,52,139
2014.TW,中鴻,Basic Materials,2022-06-30,2022-10-07,0.267344621738571,0.1309102058798493,0.5821729490022173,72,68,140
3529.TWO,力旺,Technology,2022-06-30,2022-10-07,3.267976650842058,0.017178366316071954,0.024108870967741936,6,140,146
2449.TW,京元電子,Technology,2022-06-30,2022-10-07,0.1888216140583841,0.17384491551366774,0.8614285714285714,97,49,146
2395.TW,研華,Technology,2022-06-30,2022-10-07,0.6747512944301746,0.05365954389215458,0.15940630182421228,30,118,148
2345.TW,智邦,Technology,2022-06-30,2022-10-07,0.732027378013868,0.04860821648298742,0.0978951048951049,27,122,149
1605.TW,華新,Industrials,2022-06-30,2022-10-07,0.2293484037199886,0.13734409282035892,0.7845268542199488,84,66,150
3661.TW,世芯-KY,Technology,2022-06-30,2022-10-07,0.9081219112471891,0.0350792887130382,0.17329162132752993,20,131,151
9904.TW,寶成,Consumer Cyclical,2022-06-30,2022-10-07,0.1221054934798633,0.22143729238979357,0.8162162162162162,121,31,152
1476.TW,儒鴻,Consumer Cyclical,2022-06-30,2022-10-07,0.4071231525944558,0.07137687765704709,0.19911138613861387,48,105,153
2006.TW,東和鋼鐵,Basic Materials,2022-06-30,2022-10-07,0.1717557676925085,0.1790302631970465,0.6950462107208871,106,47,153
2382.TW,廣達,Technology,2022-06-30,2022-10-07,0.15134775590263744,0.197558909309993,0.5191042780748664,112,41,153
2330.TW,台積電,Technology,2022-06-30,2022-10-07,0.3585873785513143,0.07763777491765507,0.21979680365296803,57,99,156
6488.TWO,環球晶,Technology,2022-06-30,2022-10-07,0.3023652835194309,0.08811149365378501,0.2757486631016043,65,91,156
3533.TW,嘉澤,Technology,2022-06-30,2022-10-07,0.37642332587477745,0.07632595089469382,0.21637731196054255,55,103,158
3036.TW,文曄,Technology,2022-06-30,2022-10-07,0.14199899943996744,0.1965094473093238,0.9748460291734198,116,42,158
8069.TWO,元太,Technology,2022-06-30,2022-10-07,0.6835862559079542,0.03337269701435947,0.1421628959276018,29,133,162
1102.TW,亞泥,Basic Materials,2022-06-30,2022-10-07,0.2013272698031973,0.12580299209531517,1.0908250000000002,91,71,162
3532.TW,台勝科,Technology,2022-06-30,2022-10-07,0.26618552051181527,0.0924505836138975,0.40093706293706294,73,90,163
1229.TW,聯華,Consumer Defensive,2022-06-30,2022-10-07,0.33762356703600954,0.06716030003767175,0.480802407221665,58,108,166
2002.TW,中鋼,Basic Materials,2022-06-30,2022-10-07,0.1699670285823202,0.15397590768136582,0.7585480943738657,108,58,166
4743.TWO,合一,Healthcare,2022-06-30,2022-10-07,0.7821140006005683,0.008439540513148807,0.1441634241245136,24,144,168
6505.TW,台塑化,Energy,2022-06-30,2022-10-07,0.2617210315343791,0.08586549804171062,0.446225,75,93,168
9921.TW,巨大,Consumer Cyclical,2022-06-30,2022-10-07,0.19379897250656639,0.11966296746554245,0.36470098039215687,94,74,168
9910.TW,豐泰,Consumer Cyclical,2022-06-30,2022-10-07,0.32660832045120164,0.0631935681653106,0.14307165109034267,60,110,170
6409.TW,旭隼,Industrials,2022-06-30,2022-10-07,0.542509950109311,0.03199790937926157,0.045731182795698926,37,136,173
